date,amount_rm,description
2026-04-01,281.50,TRANSFER FR A/C COLLECTIVE PROJECT IV-01927 CelsiusCoffee C
2026-04-01,672.00,TRANSFER FR A/C MILK & MOKA MARKETI IVCT-00010044 CelsiusCoffee SA
2026-04-01,188.50,TRANSFER FR A/C COLLECTIVE PROJECT IV-01929 CelsiusCoffee SA
2026-04-01,670.00,TRANSFER FR A/C PXL MARKETING SDN B 147169 CELSIUSCOFFEE T
2026-04-01,336.00,TRANSFER FR A/C MILK & MOKA MARKETI IVCT-00010060 CelsiusCoffee C
2026-04-01,181.00,TRANSFER FR A/C CATELUX ENTERPRISE F260315242 CELSIUSCOFFEE SA
2026-04-01,426.00,TRANSFER FR A/C ARYZTA FOOD SOLUTIO INV0836846 CELSIUSCOFFEE SA
2026-04-01,191.45,TRANSFER FR A/C ARIFF IZHAM BIN ABD 2026/0019 CelsiusCoffee
2026-04-01,670.00,TRANSFER FR A/C PXL MARKETING SDN B 147170 CELSIUSCOFFEE SA
2026-04-01,440.00,TRANSFER FR A/C ERUL FOOD INDUSTRIE INV-2509254 CelsiusCoffee C
2026-04-01,426.00,TRANSFER FR A/C ARYZTA FOOD SOLUTIO INV0836845 CELSIUSCOFFEE C
2026-04-01,744.00,TRANSFER FR A/C KUALA LUMPUR FRIED PI-008198 CELSIUSCOFFEE C
2026-04-01,181.00,TRANSFER FR A/C CATELUX ENTERPRISE F260315235 CELSIUSCOFFEE C
2026-04-01,420.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00476 CelsiusCoffee C
2026-04-01,336.00,TRANSFER FR A/C MILK & MOKA MARKETI IVCT-00010059 CelsiusCoffee T
2026-04-01,342.80,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10058310 CelsiusCoffee T
2026-04-01,440.00,TRANSFER FR A/C ERUL FOOD INDUSTRIE INV-2509253 CelsiusCoffee SA
2026-04-01,1100.40,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10058988 CelsiusCoffee SA
2026-04-01,190.00,TRANSFER FR A/C COLLECTIVE PROJECT IV-01930 CelsiusCoffee N
2026-04-01,1757.83,TRANSFER FR A/C POKET CAPITAL SDN. Shared service CelsiusCoffee
2026-04-01,670.00,TRANSFER FR A/C PXL MARKETING SDN B 147171 CELSIUSCOFFEE C
2026-04-01,490.68,TRANSFER FR A/C TMM RESOURCES 1-13984 CELSIUSCOFFEE C
2026-04-01,190.00,TRANSFER FR A/C CATELUX ENTERPRISE F260315240 CELSIUSCOFFEE T
2026-04-01,440.00,TRANSFER FR A/C ERUL FOOD INDUSTRIE INV-2509252 CelsiusCoffee T
2026-04-01,189.30,TRANSFER FR A/C COLLECTIVE PROJECT IV-01928 CelsiusCoffee T
2026-04-01,1409.20,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10058990 CelsiusCoffee C
2026-04-01,856.80,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10058989 CelsiusCoffee T
2026-04-01,327.12,TRANSFER FR A/C TMM RESOURCES 1-13983 CELSIUSCOFFEE T
2026-04-02,592.80,TRANSFER FR A/C DANKOFF SDN BHD IN600139532 CELSIUSCOFFEE SA
2026-04-02,592.80,TRANSFER FR A/C DANKOFF SDN BHD IN600139665 CELSIUSCOFFEE T
2026-04-02,408.90,TRANSFER FR A/C TMM RESOURCES 1-14101 CELSIUSCOFFEE C
2026-04-02,1413.60,TRANSFER FR A/C DANKOFF SDN BHD IN600139527 CELSIUSCOFFEE C
2026-04-03,248.00,TRANSFER FR A/C BLANCOZ SDN BHD 26-0288 CELSIUSCOFFEE C
2026-04-06,558.00,ELECTRONIC REMITTANCE - GIR KUALA LUMPUR FRIED PI-008205 CELSIUSCOFFEE
2026-04-06,565.50,ELECTRONIC REMITTANCE - GIR JG PACIFIC 26030969 CELSIUSCOFFEE T
2026-04-06,490.00,TRANSFER FR A/C 365EAT FOOD SDN BHD 365IN2603-0090 CELSIUSCOFFEE SA
2026-04-06,559.90,TRANSFER FR A/C BGS TRADING SDN. BH KIV260311700 CelsiusCoffee SA
2026-04-06,214.00,TRANSFER FR A/C ULTRA GREEN SUPPLIE 222586 CelsiusCoffee C
2026-04-06,19.00,TRANSFER FR A/C HNJ FOOD SUPPLY SDN SO-32192 CELSIUSCOFFEE C
2026-04-06,330.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4701 CELSIUSCOFFEE C
2026-04-06,675.68,TRANSFER FR A/C TMM RESOURCES 1-14164 CELSIUSCOFFEE C
2026-04-06,817.80,TRANSFER FR A/C TMM RESOURCES 1-14069 CELSIUSCOFFEE C
2026-04-06,475.35,TRANSFER FR A/C BGS TRADING SDN. BH KIV260311696 CelsiusCoffee C
2026-04-06,558.00,ELECTRONIC REMITTANCE - GIR KUALA LUMPUR FRIED PI-008206 CELSIUSCOFFEE
2026-04-06,244.00,TRANSFER FR A/C BLANCOZ SDN BHD 26-0289 CELSIUSCOFFEE SA
2026-04-06,852.80,ELECTRONIC REMITTANCE - GIR JG PACIFIC 26030967 CELSIUSCOFFEE SA
2026-04-06,428.00,TRANSFER FR A/C ULTRA GREEN SUPPLIE 222720 CelsiusCoffee SA
2026-04-06,425.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4668 CELSIUSCOFFEE C
2026-04-06,255.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4667 CELSIUSCOFFEE T
2026-04-06,350.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4645 CELSIUSCOFFEE T
2026-04-06,255.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4700 CELSIUSCOFFEE T
2026-04-06,316.90,TRANSFER FR A/C BGS TRADING SDN. BH KIV260311698 CelsiusCoffee T
2026-04-06,375.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00512 CelsiusCoffee C
2026-04-06,699.65,TRANSFER FR A/C ARIFF IZHAM BIN ABD 2026/0020 CelsiusCoffee C
2026-04-06,264.00,TRANSFER FR A/C BLANCOZ SDN BHD 26-0318 CELSIUSCOFFEE T
2026-04-06,490.68,TRANSFER FR A/C TMM RESOURCES 1-14163 CELSIUSCOFFEE T
2026-04-06,490.00,TRANSFER FR A/C 365EAT FOOD SDN BHD 365IN2603-0088 CELSIUSCOFFEE T
2026-04-06,375.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00513 CelsiusCoffee T
2026-04-06,654.24,TRANSFER FR A/C TMM RESOURCES 27-MAR-2026 CELSIUSCOFFEE T
2026-04-06,214.00,TRANSFER FR A/C ULTRA GREEN SUPPLIE 222587 CelsiusCoffee T
2026-04-06,264.00,TRANSFER FR A/C BLANCOZ SDN BHD 26-0290 CELSIUSCOFFEE T
2026-04-06,160.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4644 CELSIUSCOFFEE C
2026-04-06,264.00,TRANSFER FR A/C BLANCOZ SDN BHD 26-0316 CELSIUSCOFFEE C
2026-04-06,490.00,TRANSFER FR A/C 365EAT FOOD SDN BHD 365IN2603-0089 CELSIUSCOFFEE C
2026-04-06,264.00,TRANSFER FR A/C BLANCOZ SDN BHD 26-0317 CELSIUSCOFFEE SA
2026-04-06,852.80,ELECTRONIC REMITTANCE - GIR JG PACIFIC 26030966 CELSIUSCOFFEE C
2026-04-07,235.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4669 CELSIUSCOFFEE SA
2026-04-07,520.00,TRANSFER FR A/C BGS TRADING SDN. BH KIV260312406 CelsiusCoffee C
2026-04-07,908.25,TRANSFER FR A/C ARIFF IZHAM BIN ABD 2026/0021 CelsiusCoffee
2026-04-07,75.43,TRANSFER FR A/C YEE LEE TRADING CO. KLIN2026020676 CelsiusCoffee SA
2026-04-07,520.00,TRANSFER FR A/C BGS TRADING SDN. BH KIV260312409 CelsiusCoffee SA
2026-04-07,72.32,TRANSFER FR A/C YEE LEE TRADING CO. KLIN2026011006 CelsiusCoffee SA
2026-04-07,120.00,TRANSFER FR A/C YEE LEE TRADING CO. KLIN2026010184 CelsiusCoffee SA
2026-04-07,646.00,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10061283 CelsiusCoffee C
2026-04-07,629.60,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10060148 CelsiusCoffee C
2026-04-07,331.20,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10061282 CelsiusCoffee SA
2026-04-07,193.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00511 CelsiusCoffee SA
2026-04-07,330.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4699 CELSIUSCOFFEE SA
2026-04-07,425.00,TRANSFER FR A/C JIJUS CAKES TO SHAR IV4646 CELSIUSCOFFEE SA
2026-04-07,234.15,TRANSFER FR A/C ARIFF IZHAM BIN ABD 2026/0018 CelsiusCoffee
2026-04-08,188.50,TRANSFER FR A/C COLLECTIVE PROJECT IV-01948 CelsiusCoffee SA
2026-04-08,520.00,TRANSFER FR A/C BGS TRADING SDN. BH KIV260312407 CelsiusCoffee T
2026-04-08,189.30,TRANSFER FR A/C COLLECTIVE PROJECT IV-01947 CelsiusCoffee T
2026-04-08,1710.00,TRANSFER FR A/C COLLECTIVE PROJECT IV-01930 CelsiusCoffee N
2026-04-08,1696.50,TRANSFER FR A/C COLLECTIVE PROJECT IV-01929 CelsiusCoffee SA
2026-04-08,331.20,TRANSFER FR A/C GLOBAL COFFEE RESOU INV-10061284 CelsiusCoffee T
2026-04-08,1703.70,TRANSFER FR A/C COLLECTIVE PROJECT IV-01928 CelsiusCoffee T
2026-04-10,490.00,TRANSFER FR A/C 365EAT FOOD SDN BHD 365IN2604-0026 CELSIUSCOFFEE C
2026-04-10,320.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00529 CelsiusCoffee C
2026-04-10,647.70,TRANSFER FR A/C JG PACIFIC FOODS SD 26040175 CELSIUSCOFFEE N
2026-04-10,842.70,TRANSFER FR A/C JG PACIFIC FOODS SD 26040169 CELSIUSCOFFEE C
2026-04-10,682.30,TRANSFER FR A/C BEARD BROTHERS MEAT INV2604/002 CELSIUSCOFFEE C
2026-04-10,490.00,TRANSFER FR A/C 365EAT FOOD SDN BHD 365IN2604-0025 CELSIUSCOFFEE T
2026-04-10,341.04,TRANSFER FR A/C PASTRY WORLD SDN. B SO2603/3448 CELSIUSCOFFEE SA
2026-04-10,316.90,TRANSFER FR A/C BGS TRADING SDN. BH KIV260305860 CelsiusCoffee SA
2026-04-10,615.60,TRANSFER FR A/C DANKOFF SDN BHD IN600141710 CELSIUSCOFFEE SA
2026-04-10,341.04,TRANSFER FR A/C PASTRY WORLD SDN. B SO2603/3450 CELSIUSCOFFEE C
2026-04-10,840.00,TRANSFER FR A/C MILK & MOKA MARKETI IVCT-00010125 CelsiusCoffee SA
2026-04-10,500.50,TRANSFER FR A/C HNJ FOOD SUPPLY SDN SO-32344 CELSIUSCOFFEE C
2026-04-10,1180.00,TRANSFER FR A/C XORA ENTERPRISE SDN SO-31188 CELSIUSCOFFEE T
2026-04-10,341.04,TRANSFER FR A/C PASTRY WORLD SDN. B SO2603/3449 CELSIUSCOFFEE T
2026-04-10,1180.00,TRANSFER FR A/C XORA ENTERPRISE SDN SO-31187 CELSIUSCOFFEE SA
2026-04-10,842.70,TRANSFER FR A/C JG PACIFIC FOODS SD 26040171 CELSIUSCOFFEE T
2026-04-10,320.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00530 CelsiusCoffee SA
2026-04-10,363.00,TRANSFER FR A/C JS BREADSERIE ENTER SO-00495 CelsiusCoffee T
2026-04-10,504.00,TRANSFER FR A/C MILK & MOKA MARKETI IVCT-00010207 CelsiusCoffee SA
2026-04-10,490.00,TRANSFER FR A/C 365EAT FOOD SDN BHD 365IN2604-0027 CELSIUSCOFFEE SA
2026-04-10,504.00,TRANSFER FR A/C MILK & MOKA MARKETI IVCT-00010206 CelsiusCoffee SA
2026-04-10,817.80,TRANSFER FR A/C TMM RESOURCES 1-14206 CELSIUSCOFFEE C
2026-04-10,615.60,TRANSFER FR A/C DANKOFF SDN BHD IN600141709 CELSIUSCOFFEE T
2026-04-10,281.50,TRANSFER FR A/C COLLECTIVE PROJECT IV-01946 CelsiusCoffee C
2026-04-10,844.60,TRANSFER FR A/C TMM RESOURCES 1-14207 CELSIUSCOFFEE T
2026-04-10,842.70,TRANSFER FR A/C JG PACIFIC FOODS SD 26040173 CELSIUSCOFFEE SA
2026-04-11,2533.50,TRANSFER FR A/C COLLECTIVE PROJECT IV-01927 CelsiusCoffee C
2026-04-13,1180.00,TRANSFER FR A/C XORA ENTERPRISE SDN SO-31186 CELSIUSCOFFEE C
2026-04-13,1403.00,TRANSFER FR A/C NYC TREATS RESOURCE 1192 CelsiusCoffee C
