date,po_number,status,outlet,supplier,product,product_id6,package,qty,conversion,base_units,unit_price_rm,line_total_rm
2026-05-11,CC-CC001-0108,COMP,PJ,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,28.0,10,280,15.50,434.00
2026-05-11,CC-CC001-0109,COMP,PJ,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,24.0,10,240,15.50,372.00
2026-05-11,CC-CC003-0059,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,12.0,10,120,15.50,186.00
2026-05-11,CC-CC002-0089,COMP,SA,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,12.0,10,120,15.50,186.00
2026-05-11,CC-CC003-0060,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,24.0,10,240,15.50,372.00
2026-05-11,CC-CC003-0061,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,15.0,10,150,15.50,232.50
2026-05-11,CC-CC002-0090,COMP,SA,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,12.0,10,120,15.50,186.00
2026-05-11,CC-CC003-0062,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,12.0,10,120,15.50,186.00
2026-05-11,CC-CC003-0063,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,14.0,10,140,15.50,217.00
2026-05-11,CC-CC003-0064,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,24.0,10,240,15.50,372.00
2026-06-17,CC-CC001-0217,COMP,PJ,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,174.0,10,1740,16.19,2817.00
2026-06-17,CC-CC003-0141,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,71.0,10,710,16.63,1180.50
2026-06-17,CC-CC002-0202,COMP,SA,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,78.0,10,780,16.27,1269.00
2026-06-30,CC-CC001-0247,COMP,PJ,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,153.0,10,1530,15.95,2441.00
2026-06-30,CC-CC002-0234,COMP,SA,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,73.0,10,730,16.05,1171.50
2026-06-30,CC-CC003-0160,COMP,TAM,Country Bread,Brioche Sandwich,60b8b6,10pcs Loaf,64.0,10,640,16.44,1052.00
2026-07-17,CC-CC001-0301,PART,PJ,Blancoz,Brioche Sandwich,60b8b6,(no pkg),10.0,1,10,5.90,59.00
2026-07-17,CC-CC002-0291,AWAI,SA,Blancoz,Brioche Sandwich,60b8b6,(no pkg),10.0,1,10,5.90,59.00
2026-07-17,CC-CC003-0202,AWAI,TAM,Blancoz,Brioche Sandwich,60b8b6,(no pkg),13.0,1,13,5.90,76.70
2026-07-22,CC-CC001-0314,AWAI,PJ,Blancoz,Brioche Sandwich,60b8b6,(no pkg),20.0,1,20,5.90,118.00
2026-07-22,CC-CC002-0300,COMP,SA,Blancoz,Brioche Sandwich,60b8b6,(no pkg),20.0,1,20,5.90,118.00
2026-07-22,CC-CC003-0205,COMP,TAM,Blancoz,Brioche Sandwich,60b8b6,(no pkg),8.0,1,8,5.90,47.20
2026-07-26,CC-CC001-0327,AWAI,PJ,Blancoz,Brioche Sandwich,60b8b6,(no pkg),10.0,1,10,5.90,59.00
2026-07-26,CC-CC002-0317,AWAI,SA,Blancoz,Brioche Sandwich,60b8b6,(no pkg),10.0,1,10,5.90,59.00
2026-04-16,CC-CC001-0016,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-04-16,CC-CC003-0006,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-04-19,CC-CC002-0018,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-04-19,CC-CC001-0021,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-04-19,CC-CC003-0010,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-04-27,CC-CC001-0037,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),3.0,12,36,100.00,300.00
2026-04-27,CC-CC002-0032,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),3.0,12,36,100.00,300.00
2026-04-27,CC-CC003-0021,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-04,CC-CC003-0030,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-04,CC-CC001-0069,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),3.0,12,36,100.00,300.00
2026-05-04,CC-CC002-0051,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),3.0,12,36,100.00,300.00
2026-05-07,CC-CC001-0085,AWAI,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-07,CC-CC002-0066,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-10,CC-CC003-0049,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-10,CC-CC001-0095,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-10,CC-CC002-0076,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-10,CC-CC002-0084,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),3.0,12,36,100.00,300.00
2026-05-10,CC-CC003-0055,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-10,CC-CC001-0101,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-17,CC-CC001-0131,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-17,CC-CC002-0116,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-17,CC-CC003-0080,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-24,CC-CC002-0137,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-05-24,CC-CC001-0147,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-24,CC-CC003-0098,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-31,CC-CC002-0155,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-05-31,CC-CC001-0165,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-06-07,CC-CC001-0190,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-06-07,CC-CC002-0178,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-06-07,CC-CC003-0130,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-06-14,CC-CC001-0205,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-06-14,CC-CC002-0190,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-06-14,CC-CC003-0136,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-06-18,CC-CC002-0206,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-06-21,CC-CC001-0224,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-06-21,CC-CC003-0145,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-01,CC-CC003-0166,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-01,CC-CC001-0252,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-07-01,CC-CC002-0240,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-05,CC-CC001-0269,AWAI,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-07-05,CC-CC002-0255,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-05,CC-CC003-0177,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-07,CC-CC003-0180,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-07,CC-CC002-0260,COMP,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-07,CC-CC001-0275,COMP,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-07-13,CC-CC001-0287,AWAI,PJ,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
2026-07-13,CC-CC002-0272,AWAI,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-13,CC-CC003-0189,COMP,TAM,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),1.0,12,12,100.00,100.00
2026-07-15,CC-CC002-0281,PART,SA,Blancoz,Burnt Cheesecake,1f4181,1 Cake (12 slices),2.0,12,24,100.00,200.00
