ingredient,menu,month,outlet,qty_sold,dose,usage_base_units
Brioche Sandwich,Ebi Sando,2026-04,PJ,28,2.0,56.0
Brioche Sandwich,Ebi Sando,2026-04,SA,10,2.0,20.0
Brioche Sandwich,Ebi Sando,2026-04,TAM,7,2.0,14.0
Brioche Sandwich,Ebi Sando,2026-05,PJ,28,2.0,56.0
Brioche Sandwich,Ebi Sando,2026-05,SA,9,2.0,18.0
Brioche Sandwich,Ebi Sando,2026-05,TAM,16,2.0,32.0
Brioche Sandwich,Ebi Sando,2026-06,OTHER,8,2.0,16.0
Brioche Sandwich,Ebi Sando,2026-06,PJ,17,2.0,34.0
Brioche Sandwich,Ebi Sando,2026-06,SA,16,2.0,32.0
Brioche Sandwich,Ebi Sando,2026-06,TAM,19,2.0,38.0
Brioche Sandwich,Ebi Sando,2026-07,OTHER,14,2.0,28.0
Brioche Sandwich,Ebi Sando,2026-07,PJ,7,2.0,14.0
Brioche Sandwich,Ebi Sando,2026-07,SA,11,2.0,22.0
Brioche Sandwich,Ebi Sando,2026-07,TAM,7,2.0,14.0
Brioche Sandwich,Egg Sando,2026-04,PJ,69,2.0,138.0
Brioche Sandwich,Egg Sando,2026-04,SA,30,2.0,60.0
Brioche Sandwich,Egg Sando,2026-04,TAM,39,2.0,78.0
Brioche Sandwich,Egg Sando,2026-05,PJ,119,2.0,238.0
Brioche Sandwich,Egg Sando,2026-05,SA,37,2.0,74.0
Brioche Sandwich,Egg Sando,2026-05,TAM,44,2.0,88.0
Brioche Sandwich,Egg Sando,2026-06,OTHER,33,2.0,66.0
Brioche Sandwich,Egg Sando,2026-06,PJ,97,2.0,194.0
Brioche Sandwich,Egg Sando,2026-06,SA,48,2.0,96.0
Brioche Sandwich,Egg Sando,2026-06,TAM,84,2.0,168.0
Brioche Sandwich,Egg Sando,2026-07,OTHER,66,2.0,132.0
Brioche Sandwich,Egg Sando,2026-07,PJ,82,2.0,164.0
Brioche Sandwich,Egg Sando,2026-07,SA,46,2.0,92.0
Brioche Sandwich,Egg Sando,2026-07,TAM,33,2.0,66.0
Brioche Sandwich,Korean Crispy Chicken,2026-04,PJ,99,2.0,198.0
Brioche Sandwich,Korean Crispy Chicken,2026-04,SA,13,2.0,26.0
Brioche Sandwich,Korean Crispy Chicken,2026-04,TAM,36,2.0,72.0
Brioche Sandwich,Korean Crispy Chicken,2026-05,PJ,75,2.0,150.0
Brioche Sandwich,Korean Crispy Chicken,2026-05,SA,32,2.0,64.0
Brioche Sandwich,Korean Crispy Chicken,2026-05,TAM,29,2.0,58.0
Brioche Sandwich,Korean Crispy Chicken,2026-06,OTHER,40,2.0,80.0
Brioche Sandwich,Korean Crispy Chicken,2026-06,PJ,82,2.0,164.0
Brioche Sandwich,Korean Crispy Chicken,2026-06,SA,37,2.0,74.0
Brioche Sandwich,Korean Crispy Chicken,2026-06,TAM,28,2.0,56.0
Brioche Sandwich,Korean Crispy Chicken,2026-07,OTHER,44,2.0,88.0
Brioche Sandwich,Korean Crispy Chicken,2026-07,PJ,31,2.0,62.0
Brioche Sandwich,Korean Crispy Chicken,2026-07,SA,33,2.0,66.0
Brioche Sandwich,Korean Crispy Chicken,2026-07,TAM,26,2.0,52.0
