seq,source_pdf,invoice_number,outlet,invoice_date,amount_rm,po_number
1,C CELSIUS INV & CN AUG 2026-1.pdf,YSIV2608-0021,CC001,2026-08-01,322.60,CC-CC001-0330
2,C CELSIUS INV & CN AUG 2026-2.pdf,YSIV2608-0226,CC001,2026-08-04,907.00,CC-CC001-0342
3,T CELSIUS INV & CN AUG 2026-3.pdf,YSIV2608-0262,CC003,2026-08-04,436.35,CC-CC003-0222
4,S CELSIUS INV & CN AUG 2026-4.pdf,YSIV2608-0338,CC002,2026-08-05,423.20,CC-CC002-0328
5,S CELSIUS INV & CN AUG 2026-5.pdf,YSIV2608-0505,CC002,2026-08-07,1057.75,CC-CC002-0339
6,T CELSIUS INV & CN AUG 2026-6.pdf,YSIV2608-0573,CC003,2026-08-08,336.30,CC-CC003-0229
7,C CELSIUS INV & CN AUG 2026-7-8.pdf,YSIV2608-0586,CC001,2026-08-08,1148.95,CC-CC001-0351
8,S CELSIUS INV & CN AUG 2026-9.pdf,YSIV2608-0683,CC002,2026-08-10,599.60,CC-CC002-0343
9,S CELSIUS INV & CN AUG 2026-10.pdf,YSIV2608-0931,CC002,2026-08-12,105.00,
10,C CELSIUS INV & CN AUG 2026-11.pdf,YSIV2608-0986,CC001,2026-08-13,736.96,CC-CC001-0367
11,T CELSIUS INV & CN AUG 2026-12.pdf,YSIV2608-0987,CC003,2026-08-13,591.20,CC-CC003-0239
12,S CELSIUS INV & CN AUG 2026-13.pdf,YSIV2608-1074,CC002,2026-08-14,282.88,CC-CC002-0357
13,C CELSIUS INV & CN AUG 2026-14.pdf,YSIV2608-1182,CC001,2026-08-15,210.00,
14,T CELSIUS INV & CN AUG 2026-15.pdf,YSIV2608-1184,CC003,2026-08-15,105.00,
15,C CELSIUS INV & CN AUG 2026-16.pdf,YSIV2608-1438,CC001,2026-08-18,254.50,CC-CC001-0377
16,T CELSIUS INV & CN AUG 2026-17.pdf,YSIV2608-1440,CC003,2026-08-18,613.70,CC-CC003-0247
17,S CELSIUS INV & CN AUG 2026-18.pdf,YSIV2608-1485,CC002,2026-08-19,549.69,CC-CC002-0369
18,C CELSIUS INV & CN AUG 2026-19.pdf,YSIV2608-1541,CC001,2026-08-20,210.00,
19,T CELSIUS INV & CN AUG 2026-20.pdf,YSIV2608-1542,CC003,2026-08-20,155.50,
20,T CELSIUS INV & CN AUG 2026-21.pdf,YSIV2608-1758,CC003,2026-08-22,275.60,CC-CC003-0254
21,C CELSIUS INV & CN AUG 2026-22.pdf,YSIV2608-1768,CC001,2026-08-22,619.40,CC-CC001-0389
22,S CELSIUS INV & CN AUG 2026-23.pdf,YSIV2608-1874,CC002,2026-08-24,836.06,CC-CC002-0379
23,T CELSIUS INV & CN AUG 2026-24.pdf,YSIV2608-1954,CC003,2026-08-25,162.20,CC-CC003-0255
24,C CELSIUS INV & CN AUG 2026-25.pdf,YSIV2608-1979,CC001,2026-08-25,735.10,CC-CC001-0392
25,S CELSIUS INV & CN AUG 2026-26.pdf,YSIV2608-2170,CC002,2026-08-28,246.75,CC-CC002-0388
26,C CELSIUS INV & CN AUG 2026-27.pdf,YSIV2608-2287,CC001,2026-08-29,497.00,CC-CC001-0404
27,S CELSIUS INV & CN AUG 2026-28.pdf,YSIV2608-2307,CC001,2026-08-29,105.00,
