"SUPPLIER (Mandatory)

Note: If you have same product which you buy from different supplier please add in a new row . Supplier only can select from dropdown only. Do not add new supplier here","Product Name
If the same product has multiple packaging types, add a new row for each
Choose from drop down","Base UOM
(Automatic) ","Packaging UOM
Note: Should be for ordering puporse, make sure it is already in product tab","Packaging Unit
Do not modify","Packaging Conversion To Base Uom
Note : conversion must be the same as in product tab","UNIT PRICE","Branches","","","","","","","","","","","","","","","","","",""
"Collective Project","Home Blend (Collective)","G (Gram)","KG (Kilogram)","1","1000","93","","All","","","","","","","","","","","","","","","","",""
"Collective Project","Seasonal Beans Indonesia","G (Gram)","KG (Kilogram)","1","1000","103","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Collective Project","Seasonal Beans Thailand","G (Gram)","KG (Kilogram)","1","1000","103","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"The Milk Ministry","Fresh Milk (Ministry)","#N/A","BOTL (Botl)","1","2000","13.63","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Milk n Moka","Fresh Milk (Mokka)","#N/A","BOTL (Botl)","1","2000","14","Celsius Coffee Shah Alam","","","","","","","","","","","","","","","","","",""
"Eighty Eight Fahrenheit","Chocolate Powder","G (Gram)","KG (Kilogram)","1","2000","178","","All","","","","","","","","","","","","","","","","",""
"Eighty Eight Fahrenheit","Mint Chocolate powder","G (Gram)","KG (Kilogram)","1","2000","178","","All","","","","","","","","","","","","","","","","",""
"Dankoff","Monin Caramel Syrup","ML (Milliliter)","BOTL (Botl)","1","1000","52","","All","","","","","","","","","","","","","","","","",""
"Dankoff","Monin Salted Caramel Syrup","ML (Milliliter)","BOTL (Botl)","1","1000","52","","All","","","","","","","","","","","","","","","","",""
"Dankoff","Monin Vanilla Syrup","ML (Milliliter)","BOTL (Botl)","1","1000","52","","All","","","","","","","","","","","","","","","","",""
"Dankoff","Monin Hazelnut Syrup","ML (Milliliter)","BOTL (Botl)","1","1000","52","","All","","","","","","","","","","","","","","","","",""
"Dankoff","Monin Lemon Tea Syrup","ML (Milliliter)","BOTL (Botl)","1","1000","44","","All","","","","","","","","","","","","","","","","",""
