"Product Name
If the same product has multiple packaging types, add a new row for each.
(Only for main products or raw materials purchased for use)","Category - Compulsory
Group or type of the product
","Base UOM
The smallest unit used in recipes, such as grams (g) or milliliters (ml).
For products used as whole units (e.g., bottled water), you may select “bottle.”

(Only one unit can be selected from the dropdown.)","Product Code
Must be unique
(Except for items with the same product name)","TAX RATE (Mandatory)","IS MENU","Packaging UOM
The unit of the packaging purchased from the supplier, used for stock counting or sales (for the central kitchen). 
","Packaging (Unit)
(Do not modify)","Unit Conversion
Used to specify how many units of the Base UOM equal 1 unit of the Packaging UOM.
For example, 1 bottle of oil = 750 ml.","Selling Price
(For Central Kitchen only)","Packaging Description
Additional information for orders , for Central Kitchen Only
(Provide if necessary)","Branches

Note:
Assign the product to branch inventory; can be assigned to more than one branch (if applicable) use comma to separate it","Product (Description)","Group / Tag
Used to filter products outside the main category; multiple tags can be added (separated by commas)","","","","","","","","","","","",""
"Oatmilk (Oatside)","Dairy","ML (Milliliter)","DO001","NT 0%","No","CTN (Carton)","1","6000","","","","","","all","","","","","","","","","","",""
"Oatmilk (Oatside)","Dairy","ML (Milliliter)","DO002","NT 0%","No","BOTL (Botl)","1","1000","","","","","","","","","","","","","","","","",""
"Fresh Milk","Dairy","ML (Milliliter)","DFM001","NT 0%","No","CTN (Carton)","1","12000","","","","","","","","","","","","","","","","",""
"Fresh Milk","Dairy","ML (Milliliter)","DFM002","NT 0%","No","BOTL (Botl)","1","2000","","","","","","","","","","","","","","","","",""
"Home Blend (Collective)","Coffee Bean","G (Gram)","CB001","NT 0%","No","KG (Kilogram)","1","1000","","","","","Collective","","","","","","","","","","","",""
"Seasonal Beans Indonesia","Coffee Bean","G (Gram)","CB002","NT 0%","No","KG (Kilogram)","1","1000","","","","","Seasonal Beans","","","","","","","","","","","",""
"Seasonal Beans Thailand","Coffee Bean","G (Gram)","CB003","NT 0%","No","KG (Kilogram)","1","1000","","","","","","","","","","","","","","","","",""
"Chocolate Powder","Powder","G (Gram)","PC001","NT 0%","No","KG (Kilogram)","1","2000","","","","","","","","","","","","","","","","",""
"Mint Chocolate powder","Powder","G (Gram)","PC002","NT 0%","No","KG (Kilogram)","1","2000","","","","","","","","","","","","","","","","",""
"Matcha Powder","Powder","G (Gram)","PC003","NT 0%","No","KG (Kilogram)","1","500","","","","","","","","","","","","","","","","",""
"Monin Caramel Syrup","Flavour","ML (Milliliter)","FM001","NT 0%","No","CTN (Carton)","1","4000","","","","(3.9/kg) (7 biji/kg)","","","","","","","","","","","","",""
"Monin Caramel Syrup","Flavour","ML (Milliliter)","FM002","NT 0%","No","BOTTLE (Bottle)","1","1000","","","","(3.9/kg) (7 biji/kg)","","","","","","","","","","","","",""
"Monin Salted Caramel Syrup","Flavour","ML (Milliliter)","FM003","NT 0%","No","CTN (Carton)","1","4000","","","","","","","","","","","","","","","","",""
"Monin Salted Caramel Syrup","Flavour","ML (Milliliter)","FM004","NT 0%","No","BOTTLE (Bottle)","1","1000","","","","","","","","","","","","","","","","",""
"Monin Vanilla Syrup","Flavour","ML (Milliliter)","FM005","NT 0%","No","CTN (Carton)","1","4000","","","","","","","","","","","","","","","","",""
"Monin Vanilla Syrup","Flavour","ML (Milliliter)","FM006","NT 0%","No","BOTTLE (Bottle)","1","1000","","","","","","","","","","","","","","","","",""
"Monin Hazelnut Syrup","Flavour","ML (Milliliter)","FM007","NT 0%","No","CTN (Carton)","1","4000","","","","","","","","","","","","","","","","",""
"Monin Hazelnut Syrup","Flavour","ML (Milliliter)","FM008","NT 0%","No","BOTTLE (Bottle)","1","1000","","","","","","","","","","","","","","","","",""
"Monin Lemon Tea Syrup","Flavour","ML (Milliliter)","FM009","NT 0%","No","CTN (Carton)","1","2800","","","","","","","","","","","","","","","","",""
"Monin Lemon Tea Syrup","Flavour","ML (Milliliter)","FM010","NT 0%","No","BOTTLE (Bottle)","1","700","","","","","","","","","","","","","","","","",""
"Monin Caramel Sauce","Flavour","G (Gram)","FM011","NT 0%","No","BOTTLE (Bottle)","1","1890","","","","","","","","","","","","","","","","",""
"DVG Classic Pepper Mint","Flavour","ML (Milliliter)","FD001","NT 0%","No","BOTTLE (Bottle)","1","750","","","","","","","","","","","","","","","","",""
"DVG Super Berries Syrup","Flavour","ML (Milliliter)","FD002","NT 0%","No","BOTTLE (Bottle)","1","750","","","","","","","","","","","","","","","","",""
"DVG Blue Ocean Syrup","Flavour","ML (Milliliter)","FD003","NT 0%","No","BOTTLE (Bottle)","1","750","","","","","","","","","","","","","","","","",""
"DVG Chocolate Flavored Sauce","Flavour","ML (Milliliter)","FD004","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"DVG Chocolate Flavored Sauce","Flavour","ML (Milliliter)","FD005","NT 0%","No","BOTTLE (Bottle)","1","2000","","","","","","","","","","","","","","","","",""
"DVG White Chocolate Flavored Sauce","Flavour","ML (Milliliter)","FD006","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"DVG White Chocolate Flavored Sauce","Flavour","ML (Milliliter)","FD007","NT 0%","No","BOTTLE (Bottle)","1","2000","","","","","","","","","","","","","","","","",""
"DVG Madagascar Vanilla Sauce","Flavour","ML (Milliliter)","FD008","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"DVG Madagascar Vanilla Sauce","Flavour","ML (Milliliter)","FD009","NT 0%","No","BOTTLE (Bottle)","1","2000","","","","","","","","","","","","","","","","",""
"DVG Butterscotch Sauce","Flavour","ML (Milliliter)","FD010","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"DVG Butterscotch Sauce","Flavour","ML (Milliliter)","FD011","NT 0%","No","BOTTLE (Bottle)","1","2000","","","","","","","","","","","","","","","","",""
"DVG Caramel Sauce","Flavour","ML (Milliliter)","FD012","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"DVG Caramel Sauce","Flavour","ML (Milliliter)","FD013","NT 0%","No","BOTTLE (Bottle)","1","2000","","","","","","","","","","","","","","","","",""
"DVG Strawberry Sauce","Flavour","ML (Milliliter)","FD014","NT 0%","No","BOTTLE (Bottle)","1","1000","","","","","","","","","","","","","","","","",""
"DVG Frappease Powder","Powder","G (Gram)","PC004","NT 0%","No","PKT (Packet)","1","1500","","","","","","","","","","","","","","","","",""
"Spinkle","Topping","G (Gram)","T0001","NT 0%","No","PKT (Packet)","1","750","","","","","","","","","","","","","","","","",""
"Peanut Butter","Spread","G (Gram)","SP001","NT 0%","No","CTN (Carton)","1","4560","","","","","","","","","","","","","","","","",""
"Peanut Butter","Spread","G (Gram)","SP002","NT 0%","No","BOTTLE (Bottle)","1","380","","","","","","","","","","","","","","","","",""
"Condensed milk","Dairy","G (Gram)","D0003","NT 0%","No","CTN (Carton)","1","9408","","","","","","","","","","","","","","","","",""
"Condensed milk","Dairy","G (Gram)","DC001","NT 0%","No","TIN (Tin)","1","392","","","","","","","","","","","","","","","","",""
"Sugar packet","Sweetener","PCS (Pcs)","S0001","NT 0%","No","PKT (Packet)","1","1","","","","","","","","","","","","","","","","",""
